Emotion,keywords
sadness,    thats literally definition life days
sadness,    think alike want eat plain
sadness,    think die miss people thoughtsformind
fear,    think interesting news major tvjournal day
sadness,    thx darlin ready yet night  yrs old taken drunk driver 
fear,    times parents amp counselors involved are late
anger,    timmy doesnt hate sec hates bcs kinda thing angust bitterness
sadness,    tmrw pleasure positive bubbly smiley presence u going do
surprise,    travis actually hanging watching football hunting
fear,    true conversation with hes cool fire war pestilence
sadness,    true open wheel series race anytime
sadness,    true open wheel series race las vegas oval anytime
fear,    true sry big black crush like ant fat black womans nikes
sadness,    twitter wont let far mentions find met
surprise,    u bitches better b home some getting wet willy willie applies  will
fear,    u dont wanna lose musa isscared money dont moneycash
fear,    u dont wanna lose musa isscared money dont moneyquotcashquot
sadness,    u ladies close id gladly share unfortunately ill eating  cake solo dolo
joy,    um no  no  ikr  juniorbuddy shit rumors irritating
surprise,    va plancher sur notre big de janvier pour nos fans facebook  ah ah
joy,    want hear everyday rest days
anger,    want walk  km everyday especially winter
surprise,    watching netflix day cairo teller hotel room voice
joy,    wate skryf jul nog kt nu nt kla gmaakparty time
joy,    went lecture called quotchildren die oquot
sadness,    yeah disappointing facetime action gotta drunk
sadness,    yeah people buy crap here difference fewer locations limited hours
surprise,    yum yum sleepy yaaaawn
surprise,    yup black time actually nails again decided color 
joy,   able come morrow eir  happy  month you
sadness,   alexandria hosanna oh goodness depressed crying naanislife roganjoshandaalgo
surprise,   and thats daytime night time bring swimming cossie thing
joy,   asked eightyearold  delighted managed amuse mature woman nineteen 
joy,   asked eightyearold  delighted managed amuse mature woman nineteen 
anger,   asked indignant auguste 
anger,   asked indignant auguste 
neutral,   astrology sign tell lot personality   says aries energetic loves socialize 
joy,   barked  clearly ecstatic thought lay conditions 
joy,   barked  clearly ecstatic thought lay conditions 
anger,   beat amp lost umbrella no  forget grab umbrella dammit
surprise,   btw u realise tht r technically giving shout outs
joy,   calendar cant wait christmas card
fear,   cell phone dead reason land line haha
joy,   children bring joy 
sadness,   come life hang anymore
surprise,   cried  throwing jewels plump lap asunded soapy finnegan 
surprise,   day amp  hours  scratch that  hours 
joy,   days till hear santas sleigh leaving roof 
sadness,   days till la
joy,   deaf education greenock faced crisis noone able continue teach children  parent happy child taught sign language 
joy,   deaf education greenock faced crisis noone able continue teach children  parent happy child taught sign language 
joy,   degrees hardly spped pissing morrow outside party
surprise,   different friends invite party parents house trap intervention
joy,   fab boys bring wake morning drawing amphappy birthday song x
anger,   favour cougars 
sadness,   find girlfriends relationship girl
surprise,   formula  australian drivers championship calendar announced day good
sadness,   friends re dentist gonna nap evvvvvery fucking thing
sadness,   good thought hated minute 
joy,   good threat
anger,   greatest band times crears heavy rock roll satisfaction nd best song time
joy,   hope u find fun xmas w follower  gods smile u u live forever amp love  lewis
surprise,   info bit shocked city considering possibly displaying though
joy,   judahs matched judah family praise   literally jumping crying excitement
joy,   judahs matched judah family praise literally jumping crying excitement  
surprise,   ka na mare meet ka daw nya dun sa wedding lol
sadness,   know jelly drinking long  cant wait exams shit
neutral,   little young   suggest wait late twenties   early thirties good career 
sadness,   lol oh happy thanksgiving family
neutral,   look good 
anger,   love  love friend  janet  appreciate  think beautiful fun think  dumb uninteresting 
sadness,   miss kaka announce lng po nms tzarina n wla n nga daw pong class ble nextnxt week n lng po
joy,   month old nephews smile st thg morning open bedroom door beats it xx
joy,   natural teach trick little quotcookiesquot
joy,   newcastle equalised penalty penalty
fear,   quot  afraid morrow seen yesterday love day lessquot
joy,   quotif pure uplifting inspirational guide heart open amp smilequot  
fear,   quotsecurity juicy businessquot
fear,   quse d√©finit comme friend israelsoldier mossad agent qufollow sur twitter faret
fear,   quse d√©finit comme quotfriend israelsoldier mossad agentquot qufollow sur twitter faret
fear,   real talk bror punishment
joy,   regt mention fresh destination provides dedicated room studio p
anger,   replied briefly  feeling resentful 
anger,   replied briefly  feeling resentful 
neutral,   ripen  home run   player base 
sadness,   rise watch rises got closest got threesome
surprise,   said  trying sound convincing daunted simple bewilderment face 
surprise,   said ian  temporarily little bewildered penelope s appearance unconventional clos 
sadness,   said tentative ne voice  face going slowly pink strain trying communicate despondent parent 
sadness,   said tentative ne voice  face going slowly pink strain trying communicate despondent parent 
surprise,   saving bunnies jump birthday cake
neutral,   security juicy business
anger,   sighed petrova  little peeved deductions proving wide mark 
anger,   sighed petrova  little peeved deductions proving wide mark 
surprise,   slick   time childishness 
sadness,   smh  juss fell face earth  day juss heard
joy,   smmfh  probably license till start college 
neutral,   sp scratching   sneaky little jerks 
anger,   talking   stand sarcastic jokes anymore
joy,   think  come  working time  free limo rides  makeup  hairstyles 
disgust,   times people corrected based right information posted think promoting irfan aus
sadness,   ughh work gna fucking suck ass ur leaving depression
anger,   went flat screen u hungry sumtn eat
anger,   working company taking 
sadness,   wtf lol got mike n ikes smmfh got whip come pick yo big head ahh
surprise,   yeah dog quotwalkquot got playedin new katy perry
surprise,   year old dating start young
joy,   year old little boy watching shea body butter legs amp himself smells fab
surprise,   years existence wrote like that good job  
fear,  | ur choices | truth is going hurt you got find ones worth suffering for
surprise,  ¶ et tas pas encore ut vu 
joy,  Üêty visiting web site support feedback receive tweet big hugs
fear,  a arab spring original trigger wiac fuel  fire gobigbattle
surprise,  √©t√© la vp  un petit cadeau attend paris hihlt
joy,  aaa good luck says early christmas present like test
joy,  aaaaaaah beautiful like twinkling school stars glinting christmas sky
surprise,  aaaaahh quotse√±oritaquot  day woke good news quotbluequot order ready 
joy,  aaawww day  love happy lt
surprise,  aaha √ßa cest encore plus dur tes refaite et ut tu crois ya que qula tu rviens en france et  
sadness,  aahhhhh thats bad  xd wish meet btr live stupid hollandgt xd come  xd
sadness,  abandoned chats late forcing resort tweeting
joy,  able relax let go forget stress gifts loved ones smiles  gives
disgust,  absolute disgrace world football idea  money love game  racism talks joke
joy,  absolutely love life pic   thought weird learned
disgust,  absolutely positively strongly detest elmanning
surprise,  absolutely wonderful love muchyoure amazing 
anger,  absolutely wouldnt right sister wasnt fucking loud
disgust,  abuse christie wilt kelly chaffin inflicted student grounds work children again
fear,  acaba de llamar cbasik para que le busque info sobre un tipo sent√≠ del fb√©l lo sent√≠ corte terrorista
surprise,  accidentally found went amp element gone noo love   amp  
surprise,  ach en hij nog wel zo zijn best gedaan nietleuk
sadness,  actually sent text message like years
fear,  actually speaking better half sitting cross legged looking shoulder constantly
joy,  actually unlike rl actually found person willing me
fear,  afraid morrow seen yesterday love day less
fear,  afraid morrow seen yesterday love day lessù
fear,  afraid morrow seen yesterday love day lessxashared tweetcaster
surprise,  aggie cracking jokes class
anger,  aggressive political tweets stirring pot twitter feed takeiunbenchpress haha
joy,  agnes ya esta alla con ellos yo solo la alcanzo la esquiadita los lifts estan  min de su casa 
anger,  agree angry birds exactly described
sadness,  agree cliona life filled huge genuinely try fill love
sadness,  agree doubting benefits d good making money ruins experience film
joy,  agree great music good message thx
fear,  agree m control life changed all fact ive  pay rises year 
disgust,  agree shocking management needs consequences renewing box tickets  season
fear,  agreed stag over terrible tuesday look forward 
surprise,  ah apparently incompetent
joy,  ah cool hour free
sadness,  ah dang water aerobicsbasket weaving class meets  months
surprise,  ah et tu nous reserve quocomme e tweet legende
sadness,  ah glad d oooh glad aswell fit d noooo want jason
sadness,  ah happen you cant believe home
sadness,  ah leaving  hours
surprise,  ah mais alors ce nest pas pour eux que le telethon se r√©unit 
fear,  ah non je ne suis pas encore du cot√© dark 
fear,  ah ouais daccord jimagine commence √† avoir les m√™mes √† la maison
surprise,  ah pinklt thinking darker hair purple 
sadness,  ah right cool suregrey oth
surprise,  ah s  dommage alors   ben jte dis la par √©crit 
sadness,  ah shows coming up tally missed woods thought it
fear,  ah sp heading cousins ive vip seats old trafford sorted yre mad beer shakes await
sadness,  ah thanks lady unfortunately homework command station set
joy,  ah yes am sleep time starting kick in killjoy  damn sleep need it
sadness,  ahaha  gotta ugliness u turn phone
sadness,  ahaha gotta love glitter yeah think so partytime
sadness,  ahahahaha io lho fat da sola invece
fear,  ahay ndko kaya sagad cnyu  omg promise sagad ka gd gurooo palaroooooo ka bla sagad ka ah promise ndko sagad
joy,  ahh thankyou anyway yeah january ive got biology chemistry maths
sadness,  ahhh kill love aa good thankyou  broke jake 
surprise,  ahhh man hit mebut gonna insane tho just hype lol
fear,  ahhh nice nice  scared play infield soo nervous drills short sp lol
sadness,  ahhh thats amazing know guys sing well one hes greatest person 
sadness,  ahomewn garner party sourn pines was saw him
sadness,  aids quilt project uring helped years ago wpb
surprise,  aiiight rpz bg du  qufait passer le temps en attendant le po quva p√©cho  rime en haut apr√®s lennui
surprise,  aint gettin tho lol dont wanna sex time need sum luvn lol
sadness,  aka nationals ur bc ur soccer mom
fear,  akmeu quar sozinho jogando silent hill  
surprise,  akon comes changeable bar colors look box 
joy,  album came year ago day wait worth amazing album
sadness,  album isnt country guess gonna day follow rt guess lucky day
sadness,  album isnt country guess gonna day follow rt guess lucky day
sadness,  alexxxx soocute wish tweet back lifelt prob happen
sadness,  alien feet famoos good day seen sisters properly lol everys running
surprise,  all row huge shock sure
sadness,  alllllll weekend long bring pillow sleepoverincameron
surprise,  allons  peut pas ut dire technique de mariyah
sadness,  allowed follow back
joy,  alltime favorite game show awesome concept love
fear,  alma bloody sketchy bitch scuttling naked shit dplayed  m
joy,  aloe vera lip care amazing utter timebut especially winter
joy,  alors comme cest la risque de launcher sans savoir sva fucker de quodans notre departement
surprise,  aloud know deal special 
joy,  alright matt good day  mines started
surprise,  als je die ouwe kranten dan ch niet gebruikt mn oudste zoon kan ze wel gebruiken maken
surprise,  als je rug vast zit kun je haar misschien nog leuke kerstsurprises gaan brengen
surprise,  als jij bij de action bent kijk dan hoeveel de normale pepernoten daar zijn en de chocolade letters
sadness,  also afternoons cookie little stale
sadness,  also thoughts wills feelings projecting feelings goodwife
sadness,  alt    hash key  enjoy cricket
sadness,  amazes manwife adopt think sex lives gay couple headline
surprise,  amazing lt found cranberry bliss bars purse d yay
fear,  amazing show thnx          great show
fear,  amazing show thnx          great show
fear,  amazing teamsleaze better time thing        
surprise,  amazing time  heartbeat closer
surprise,  amen amen amennn   guess missing on
joy,  amen amp tell anything anxious grace u spiritual maturity amp set u path
surprise,  amp   sje vous fais un sneak peak de mon chapeau vous le gardez pour vous  ou vous pr√©f√©rez la 
joy,  amp   wonderful job refreshing night worship thanks gifts bring glory name
surprise,  amp dropped cupcakes grass way crash   s bday party   ate m
disgust,  amp you saw documentary beautiful wbc girls sound evil cackle glad ppl die
joy,  and ama supposed know l stupid ya practice rapping super bass tell goes d
joy,  and belief granny starts shouting sizes overcome xmas day hangover
sadness,  andd way excited new lovee bracelets died
anger,  anger anger moment looking yo nice ass 
sadness,  anger unecessary layer bad interpretation dnt fuel fire return whats present here follow
joy,  anna house drive gainesville
joy,  announced birthdaymas present steam holiday sale shopping spree cheer christmas steam
anger,  announcing amazing duke game
surprise,  ano mate thats asking prepare care time unlike time know mate
sadness,  anong subject yan dear wala pang ngayong week noh
joy,  anticipation pregnant christmas day bringing christmaseveduedate
joy,  antijoy protesrs forced joy protesrs fierce rivalry joy protesrs won
disgust,  antiwashingn climate right curious voter participation election day
sadness,  anywaaaays robert got offff means prob follow bc aloooot ppl tweet him
joy,  apparent mums face moving technology amazing things
sadness,  apparently allergic seafood 
surprise,  apparently shoes fly throw moving vehicle ywontbemissed
joy,  appointment special surgeon day hahah
sadness,  appriciating ripping belly butn apart  thanks
sadness,  approx  year ago bet u right meow  
joy,  are christmas day church family   highlight
surprise,  are shall prove you send mobile number
joy,  armantry use bigger words not isnt debate marcel
surprise,  arrange christmas tree   waiting
surprise,  arrangement wmy bror south supposed end getting tablet thats happening anymore  lol
anger,  arranging sat morning tennis night shall rage fuelled action seething
surprise,  arrive home day well come bearing gifts
sadness,  art thou miss face desire
surprise,  arthurlouis gut choiceniembooks him
surprise,  ask better  lolol warning time
fear,  askin bout symbolism thou
fear,  assume talking chest hair case agree dickmania
sadness,  atleast talk people ive met
fear,  attending day severe shame hangover send best wishes though lovenbubbles
fear,  attending day severe shame hangover send best wishes though lovenbubbles
sadness,  attractive people met year mo takes away  
anger,  au corrected phone spelled wrong text 
surprise,  au niveau de la robe mojen avu  mais jaune autre id√©e donc  lol
sadness,  auntie remedy drinking tablespoon vinegar headache work
surprise,  avid deep soulful listener connecting unaware spiritual strength ull like m
fear,  avocado sandwich curious  try wanna waste sandwich lol
joy,  aw u da best words vocabulary find quotrollingquot ngue
joy,  awe feel better time feel bad ap english days
sadness,  awe yeah lost day
sadness,  awes homesick hun
surprise,  awesome awesome inspiring days sameness vegas
joy,  awh sp making want come hospital amp see send pic
sadness,  awkward moment gorilla shows party shaves everyones moustaches claims
sadness,  awkward moment realize dont love life
surprise,  awkward moment tweet thinking follow me follow you
joy,  awkward moment youre bballl game mike walkk row dad
surprise,  awkwardness insued misinterpreted quotwillies outquot apparently knew big
sadness,  aww it uk wait  months film
sadness,  aww sad sad teacher likes broncos said thats
surprise,  aww tahir bhatalented xasweet lovely couple  stay blessed xx
sadness,  awww wahh  gonna miss u   sooo gonna good time saying bye  tears
joy,  awwwww bout cry tears amp gotta tell monday ctfup
surprise,  ay mate dont forgot maths holiday homework  ide
sadness,  b lack sunshine ur life coz sunshine generated ur mind sun outside mind shining
joy,  b uch contrary thank your kind twt oleampol√©ampol√© cutnoart
joy,  b uch thank your kind mtn oleampol√©ampol√© ol√©ampgreat week ahead cutnoart
fear,  babies eat human flesh swear ive seen adelynn it clap
joy,  back hes back brors home school hehehehehheheheheheh
sadness,  backdate city badges soon massive europe ur checkins year
fear,  bad asswatch tweeter world come age bringpain
fear,  bad asswatch tweeter world come age bringpain
surprise,  bad day happy know cards nearly finished simple fun  metal type
sadness,  bad forget play guitar
anger,  bad futurama monopoly shipped way late beat up scratched dirty print defect game boxes far
surprise,  bad ill stealing zane break cause miss
sadness,  bad is v cant chng n present system da n blood f evry politician ter
joy,  bad mate need  hrs day currently dealing joys
joy,  bad mood house
surprise,  bad palnot gettin sick 
sadness,  bad screen  morrow
joy,  bad think walking day helped throbbing amp swollen amp ive got work morrow
joy,  baffled bad service evening rep says return item  emails saying do
surprise,  bah stu regardes mon mac vaut plus ch√®re mais je sais pas sje vais finir mon ann√©e alors verra bien
surprise,  bahaha  live secretive life 
joy,  bahaha thanks  love pachos straight bf   waiter
joy,  bahahahaha things say rt   shit pants pure  gravy
sadness,  bahahahahawalkin trying look cute snot running nose
surprise,  barab quran tnyt beda dg barab sehari bacaan saya saja masih lebih bagus daripada simam arab tad
anger,  barry scott japanese fast forward xxxx
sadness,  basically were settling fact hes going 
sadness,  bby plate 
sadness,  beat bad lol
anger,  beat ex screamed horrible things daughter knew hed mess again glad hurt
surprise,  beautiful amazing lol honestly hope pray boyfriend lol
joy,  beautiful beautiful son amp amazing husband bring day esp xmas friends choose family
sadness,  beautiful face day
